a,b,c,d,e
不同类型玉米组织对亚洲玉米螟幼虫存活和生长发育的影响,标题,关键字,亚洲玉米螟;幼虫;存活;特用玉米;组织;,关键字
桦甸市玉米主要虫害综合防治技术,标题,关键字,玉米;主要害虫;综合防治技术;吉林桦甸;,关键字
玉米病虫害绿色防治技术,标题,关键字,玉米;病虫害;症状识别;防治方法;,关键字
朱砂叶螨刺吸胁迫对玉米自交系化学防御物质的系统诱导效应,标题,关键字,朱砂叶螨;玉米自交系;丁布;总酚;胰蛋白酶抑制剂;胰凝乳蛋白酶抑制剂;,关键字
宁夏灌区玉米平播密植模式下的农田蛾类多样性研究,标题,关键字,蛾类;多样性;农田;玉米平播;,关键字
大同市玉米红蜘蛛严重发生原因分析及防治对策,标题,关键字,大同市;玉米种植面积;红蜘蛛;原因分析;农业生物灾害;朱砂叶螨;玉米叶螨;粮食产量;截形叶螨;二斑叶螨;大同地区;大发生年;危害;减产;幅度;,关键字
玉米病虫害综合防治技术,标题,关键字,综合防治技术玉米病虫害玉米灰斑病玉米叶片叶脉病斑圆形褐色;,关键字
玉米病虫害综合防治技术,标题,关键字,玉米病虫害;玉米粗缩病;玉米苗期;适时早播;适期播种;矮花叶病;灰飞虱;发病率;大斑病;播种期;品种;良种;活动;地主;成虫;,关键字
峨边县玉米第一代大螟发生规律和防治措施的探讨,标题,关键字,春玉米;大螟;发生规律;防治措施;controlmeasures;病虫害发生;试验工作;耕地面积;防治技术;发生为害;大发生年;产量损失;凉山州;东北部;种植;雨水;生产;山区;气候;农业;,关键字
忻府区玉米田小地老虎发生为害规律及防治对策,标题,关键字,忻府;玉米田;小地老虎;发生为害规律;综合防治对策;玉米种植面积;玉米主产区;作物面积;主要害虫;玉米苗期;因地制宜;危害;大发生年;山西;缺苗;减产;产量;,关键字
LED单波长杀虫灯对玉米—大豆套作共生期主要昆虫的诱杀效果,标题,关键字,LED单波段光源杀虫灯;玉米—大豆带状套作;害虫;天敌;诱集;,关键字
玉米红蜘蛛的发生与防治,标题,关键字,玉米叶螨;棉红蜘蛛;朱砂叶螨;种类;杂草;越冬;玉米生产;枯枝落叶;机械携带;光合作用;多种植物;大量繁殖;蛛形纲;蜱螨目;大面积;组织;籽粒;汁液;叶片;危害;,关键字
不同种植密度下玉米螟对郑单958的影响,标题,关键字,郑单958;玉米螟;防治技术;,关键字
玉米病虫害综合防治技术,标题,关键字,玉米;病虫害;综合防治;大斑病;黑粉病;,关键字
一点缀螟生物学特性及其在云南德宏玉米田的为害调查,标题,关键字,一点缀螟;玉米;为害;生物学特性;,关键字
玉米叶螨的发生规律与防治方法,标题,关键字,玉米;截形叶螨;二斑叶螨;朱砂叶螨;发生;防治;,关键字
2018年玉米重大病虫害防控技术方案,标题,关键字,玉米螟;重大病虫害;防控技术;病虫害发生;黄淮海地区;华北地区;地下害虫;西南地区;,关键字
玉米病虫害综合防治技术,标题,关键字,玉米苗枯病;玉米病害;稳产高产;特殊气候;施用氮肥;技术介绍;发生面积;叶斑病;病毒病;种类;制约;防治;,关键字
玉米异跗萤叶甲,虫害,别称,黄米虫,别称
玉米大斑病,病害,别称,玉米枯叶病,别称
玉米细菌萎蔫病,病害,别称,玉米细菌性叶枯病,别称
玉米大斑病,病害,别称,玉米条斑病,别称
玉米赤霉病,病害,危害作物,玉米,作物
玉米异跗萤叶甲,虫害,危害作物,玉米,作物
玉米锈病,病害,危害作物,玉米,作物
玉米黑粉病,病害,危害作物,玉米,作物
玉米炭疽病,病害,危害作物,玉米,作物
玉米黑粉病,病害,发生规律,(1)品种因素。耐旱品种，以及果穗苞叶长的品种较抗病。甜玉米较感病，马齿型玉米较抗病。早熟种较晚熟种发病略轻。(2)气候因素。高温高湿利于后垣孢子萌发。玉米受旱，抗病力弱，遇微雨或多雾、多露的天气，发病重。前期干旱，后期多雨，或干湿交替，容易发病。(3)栽培因素。连作地或高肥密植地，发病重。植株伤口多，有利于病菌侵入，容易发病。,发生规律
玉米弯孢霉叶斑病,病害,发生规律,(1)气候因素。该病属高温高湿型病害，7～8月高温高湿或多雨的季节利于发病和流行。(2)农业防治：播种晚、土壤贫瘠，发病重。,发生规律
玉米矮花叶病,病害,图例,https://i.postimg.cc/L4WKhd6j/0242.jpg,图例
玉米细菌萎蔫病,病害,图例,https://i.postimg.cc/s2JC2vv2/0239.jpg,图例
玉米蚜,虫害,图例,https://i.postimg.cc/ZqNFPdrT/0605.jpg,图例
玉米褐斑病,病害,图例,https://i.postimg.cc/mDGkvcK2/0210.jpg,图例
玉米纹枯病,病害,图例,https://i.postimg.cc/HkVrX1QH/0207.jpg,图例
玉米赤霉病,病害,学名,CornGibberellarot,学名
玉米黑粉病,病害,学名,Cornsmut,学名
玉米纹枯病,病害,学名,Cornsheathblight,学名
玉米黄呆蓟马,虫害,形态特征,[形态](1)成虫。成虫雌虫长翅型体长约1～1.2mm体暗黄色，胸部有暗灰斑，腹部背片较暗触角第1节灰白，第3～4节黄色，但逐渐色暗，第5～8节暗灰棕色前翅灰黄色足黄色，胫节和胫节外缘略暗，腹端鬃较暗头和前胸背面无长鬃触角8节，第3、4节上有叉状感觉锥，第6节有淡而亮的斜缝(亦称伪节)后胸盾片中部有模糊网纹，两侧为纵纹；前中鬃距前缘较远前翅长而窄，基部宽，脉显著；前脉基部鬃8根，端鬃2根，后脉鬃7～8根腹部第8节背片后缘梳完整；第9和第10节背鬃较长雌虫半长翅型：翅长度仅达腹部第5节雌虫短翅型：翅略呈长三角形芽状，翅胸比长翅型为窄，几乎不宽于前胸。(2)卵。成虫用锯齿状产卵器把卵产在玉米叶片的叶肉内卵壳白色卵长约0.3mm左右，宽约0.13mm，肾形，乳白至乳黄色。(3)若虫。若虫初孵若虫小如针尖头、胸占体的比例较大，触角较短粗2龄后体色为乳青或乳黄色，有灰色斑纹触角末数节灰色足、胫节基部、各跗节、第9腹节后缘和第10腹节端部灰色体鬃很短，仅第9、10节鬃较长中、后胸及腹部表皮皱褶不平，每节由数横排隆脊状颗粒构成第9腹节上有4根背鬃略呈节瘤状。(4)蛹。前“蛹”(第3龄)，头、胸、腹淡黄色，触角、翅芽及足淡白色，复眼红色触角分节不明显，略呈鞘囊状，向前伸体鬃短而尖，第8腹节侧鬃较长，第9腹节背面有4根弯曲的齿“蛹”(第4龄)与前“蛹”不同的是触角鞘背于头上，向后至前胸翅芽较长，接近羽化时带褐色。,形态特征
玉米穗虫的发生与防治,标题,摘要,"玉米穗虫是指玉米穗期,为害玉米雌穗的多种害虫的总称,有棉铃虫、玉米螟、桃蛀螟、高粱条螟、黏虫、秋毛虫等.尤其是棉铃虫,近几年在玉米上为害加重,已成为影响玉米产量和品质的一种重要害虫.",摘要
氯虫苯甲酰胺防治玉米田小地老虎和玉米螟试验,标题,摘要,"田间小区试验结果表明,应用200g/L氯虫苯甲酰胺悬浮剂防治玉米田小地老虎,666.7m2用量6.7、5.0g处理,保苗和防虫效果分别为89.78%、81.48%和87.23%、76.60%;防治玉米螟,666.7m2用量5.0、4.0g处理,保苗和防虫效果分别为88.77%、77.01%和88.89%、80.00%,均优于常规对照处理效果或与之相当.",摘要
张掖地区玉米害螨的发生与防治对策,标题,摘要,"甘肃省张掖地区玉米田害螨有截形叶螨(TetranychustruncatusEhara)和朱砂叶螨(TetranychuscinnabarinusBoisdural),以截形叶螨为优势种.在张掖年发生10～11代,以雌成螨越冬,3月下旬至4月上旬从越冬场所爬出活动,开始在杂草上产卵,7月中旬至8月下旬是为害盛期,高温干旱年份发生严重.综合控制与药剂防治结合是防治叶螨的有放措施.",摘要
玉米与赤霉素对向日葵列当种子萌发、防除以及对后茬作物向日葵生长的影响,标题,摘要,"向日葵列当(OrobanchecumanaWallr.)是一种根寄生草本植物,对向日葵等经济作物造成严重危害.为了减少向日葵列当对向日葵的寄生,降低土壤中向日葵列当种子库,本试验以新疆地区广泛种植的玉米品种京糯一号和新玉57号为研究材料,通过穴盘试验研究在不同时期(出苗后10d和15d)施加两种不同浓度赤霉素(10-4mol·L-1和10-5mol·L-1)对上述两个品种玉米生长发育和分泌列当萌发刺激物质的影响;24d后收集并提取玉米根系分泌物,用其进行刺激向日葵列当种子的萌发试验,从而筛选出刺激向日葵列当种子萌发能力较强的玉米品种进行盆栽试验.通过盆栽试验,在玉米种植后的不同时期(20d和40d)喷施10-4mol·L-1赤霉素以探究玉米与赤霉素共同防除向日葵列当种子的效果,收获时(105d后)采集玉米地上部、根和根际土样品,用其甲醇浸提液刺激向日葵列当种子萌发;次年在种植过玉米的盆中种植后茬作物向日葵,收获时测定向日葵的农艺指标并统计向日葵列当的出土数.结果表明:穴盘试验中施加赤霉素对玉米的株高有显著增高作用,对玉米根系分泌萌发刺激物质没有抑制作用,即在玉米生长时期可以施加10-4mol·L-1和10-5mol·L-1赤霉素.此外,新玉57号根系分泌物的100倍稀释液刺激向日葵列当种子的萌发率显著高于京糯一号,因此选取新玉57号作为盆栽试验的玉米品种.盆栽试验中不同时期施加10-4mol·L-1赤霉素,玉米株高同样显著高于对照,增长率分别为22.5％、19.1％.次年种植后茬作物向日葵,在第20d向玉米施加赤霉素处理的盆中种植的向日葵的花盘直径比对照(种植玉米时不施加赤霉素)显著增加57.1％.与对照相比,在种植玉米后的20d和40d施加赤霉素的处理种植向日葵,向日葵列当的出土数分别是1.3个·盆-1、1.8个·盆-1,分别降低76.4％和67.3％.因此,可以在玉米种植的后20d和40d施加10-4mol·L-1赤霉素,与玉米共同诱导向日葵列当种子""自杀发芽"",以减少向日葵列当对向日葵植株的危害.",摘要
玉米重大病虫害防控技术方案+,标题,摘要,"本文分别就蚜虫,二点委夜蛾,地下害虫以及灰飞虱、蓟马、蚜虫等各种苗期害虫,玉米螟,玉米蚜虫,玉米叶螨,棉铃虫,丝黑穗病、根腐病以及茎腐病等,玉米叶斑类病害,纹枯病,玉米粗缩病,苗期害虫等各种重大病虫害的防控技术进行了具体的介绍,希望能够为玉米重大病虫害的防控工作提供参考以及节借鉴,使我国玉米种植产业得到更快更好的发展.",摘要
亚洲玉米螟幼虫体内酚氧化酶原激活蛋白酶cDNA片段的克隆与序列分析,标题,摘要,"为研究亚洲玉米螟Ostriniafurnacalis(Guenée)幼虫体内酚氧化酶原激活蛋白酶(prophenoloxidaseactivatingproteinase,PAP)表达调控的分子机理,本研究根据不同昆虫酚氧化酶原激活蛋白酶基因序列的保守区域,设计合成简并引物,采用RT-PCR技术从亚洲玉米螟5龄幼虫中扩增出PAP的一段cDNA片段,大小为509bp,编码169个氨基酸,预测分子量为18.7kD,理论等电点(pI值)为5.1.该基因序列中含有丝氨酸蛋白酶样结构域中保守的催化三联体,不含发夹结构域.BlastP分析结果表明:该片段的氨基酸序列与烟草天蛾ManducasextaPAP-3和冈比亚按蚊Anophelesgambiae发央型蛋白B1的氨基酸序列一致性最高,为47%;与烟草天蛾PAP-2、家蚕BombyxmoriPPAE、斜纹夜蛾SpodopteralituraPPAE-3、蓖麻蚕SamiacynthiariciniPAP和黑腹果蝇Drosophilamelanogaster丝氨酸蛋白酶7的氨基酸序列的一致性分别为45%,45%,44%,43%和41%.构建系统发育树,对其进化关系进行了初步分析,结果显示:亚洲玉米螟PAP与烟草天蛾PAP-3和斜纹夜蛾PPAE-3的亲缘关系较近,与黑腹果蝇丝氨酸蛋白酶7和冈比亚按蚊发夹型蛋白B1的亲缘关系较远.这些结果说明克隆得到的cDNA片段为业洲玉米螟幼虫PAP基因靠近羧基端的部分序列.",摘要
2018年我国玉米重大病虫害发生特点和原因分析,标题,摘要,"本文总结了2018年我国玉米病虫害发生概况,重点分析了亚洲玉米螟、二点委夜蛾、黏虫、棉铃虫、玉米叶螨、双斑萤叶甲以及大斑病、玉米锈病等近年玉米上发生为害明显的重大病虫害的发生特点.分析讨论了虫源基数、天气条件、种植制度、栽培技术以及品种抗性等因素对玉米病虫害发生的影响.",摘要
博乐市玉米田地老虎发生情况与防治,标题,摘要,"地老虎属鳞翅目,夜蛾科,取食各种植物幼苗,危害玉米、谷子等禾本科作物和棉花、甜菜等经济作物以及蔬菜等,为害严重.在博乐市分布危害较普遍的主要是小地老虎和黄地老虎.",摘要
玉米制种病虫趋重的原因及防治对策,标题,摘要,"在玉米制种工作中,为了最大限度地提高制种产量,除了科学掌控亲本花期良好相遇外,病虫害防治成为重要的保证环节.随着制种基地的稳定和玉米制种的连作性,制种玉米病虫害发生和危害呈加重的趋势,发生严重的主要虫害有地老虎、金针虫、蚜虫、玉米螟等,病害主要有玉米大斑病、小斑病、纹枯病等.",摘要
复方适乐时拌种防治玉米病害和地下害虫研究初报,标题,摘要,"通过室内及小区试验,研究了复方适乐时拌种对玉米幼苗茎枯病、丝黑穗病及地下害虫(蛴螬、蝼蛄、金针虫、地老虎等)的防治效果.结果显示:复方适乐时拌种对地下害虫的防效在92%以上;防治幼苗茎枯病(人工接菌)效果为76.5%～88.3%,未接种区的防效达69.3%～74.5%;对丝黑穗病的防效用人工接种方法时为84.3%～90.2%,而对未接种区的防效达97.2%～100%,对玉米出苗及植株生长均具有促进作用.",摘要
玉米病虫害综合防治措施,标题,摘要,近年来，玉米病虫危害呈逐年加重趋势，已成为玉米生产上的主要限制因素。其主要病虫害有玉米黑粉病、玉米灰斑病、玉米褐斑病、地老虎、粘虫和玉米螟等，所以，在玉米生长发育过程中，必须搞好病虫害的综合防治工作，以最大限度地减少其危害。,摘要
朱砂叶螨刺吸胁迫对玉米防御信号分子的诱导作用,标题,摘要,"[目的]探明朱砂叶螨Tetranychuscinnabarinus持续为害对玉米Zeamays叶片内茉莉酸(jasmonicacid,JA)、水杨酸(salicylicacid,SA)、乙烯(ethylene,ET)、一氧化氮(nitricoxide,NO)、脱落酸(abscisicacid,ABA)和过氧化氢(hydrogenperoxide,H2O2)6个防御信号分子的诱导作用.[方法]室内人工接螨(10,20和30头/叶),采用分光光度法(SP)、高效液相色谱法(HPLC)和酶联免疫法(ELISA),测定了朱砂叶螨持续为害0,24,48,72和96h后,玉米幼苗叶片内6个信号分子的含量.[结果]朱砂叶螨持续刺吸为害玉米幼苗叶片后,JA,ABA和H2O23个信号分子含量在叶螨刺吸为害24h内迅速上升,在24h时达高峰值,叶螨密度为30头/叶时其含量分别为同期未接螨对照的4.13,3.84和3.20倍,24-48h内迅速下降;此后,ABA和H2O2含量维持在较低水平,而JA含量在48-96h内又上升至次高峰值.NO含量则在24-48h内上升较快,48h时达最高,叶螨密度为30头/叶时其含量为同期未接螨对照的5.09倍.SA和ET含量在96h内均随刺吸时间的延长而增大,96h时最高,叶螨密度为30头/叶时其含量分别为同期未接螨对照的5.17和2.99倍.叶螨密度为30头/叶时,6个信号分子含量均显著高于同期未接螨对照(P＜0.05).[结论]朱砂叶螨为害对玉米叶片内JA,SA,ET,NO,ABA和H2O2均具有诱导作用,且6个信号分子在叶螨持续为害玉米叶片后循序被诱导.",摘要
人工移植索线虫怀卵雌虫防治玉米害虫,标题,摘要,"利用人工移植索线虫怀卵雌虫进行了防治玉米害虫的试验.1999年4月下旬向供试区每m2移植咸阳多索线虫和地老虎六索线虫的怀卵雌虫各两条,5月份小区内索线虫对小地老虎的感染率达16.1%;6月份索线虫对黄胫小车蝗、短额负蝗、中华稻蝗、中华蚱蜢的感染率分别为10.7%、10.3%、12.9%和8.9%;8月下旬至9月初仍可见上述4种蝗虫以及长翅素木蝗和疣蝗被感染,感染率分别为10.9%、18.1%、17.0%、21.0%、22.2%和33.3%.11月底在试验区挖土调查,发现土壤中有索线虫33.3条/m3,说明索线虫已开始在试验区孳生定居.",摘要
2016年全国玉米主要病虫害发生趋势预报,标题,摘要,"据全国农技中心组织科研、教学和推广单位专家分析预测,2016年全国玉米主要病虫害呈偏重发生态势,预计发生面积为7866.67万公顷次.其中,虫害预计发生5800万公顷次,病害预计发生2066.67万公顷次.东北和华北地区以玉米螟、地下害虫、大斑病危害最重,黄淮海地区以棉铃虫、二点委夜蛾、褐斑病、南方锈病发生突出,西北和西南地区以蚜虫、叶螨、小斑病发生普遍,粘虫在北方局部地区出现高密度集中危害的可能性较大.",摘要
几种低毒杀虫剂对甜玉米斜纹夜蛾和毒蛾的防效评价,标题,摘要,"斜纹夜蛾和毒蛾是甜玉米种植中的重要害虫,其危害甜玉米的嫩叶和花丝,造成损失.目前对该两种害虫的防治都是以农药防治为主.选用一些较有代表性的药剂对斜纹夜蛾和双线盗毒蛾的幼虫进行田间药效试验.结果表明:2%甲维盐乳油、4.2%高氯·甲维盐水乳剂、15%虱螨脲水分散粒剂和20%虫螨腈可溶性粒刺对斜纹夜蛾的防效较好,药后7d的防治效果达90%以上:6%阿维·高氯乳油、2%甲维盐乳油和5%高效氯氰菊酯乳油对舣线盗毒蛾的防治效果最高,药后7d的防效达到100%,2000IUB.t.颗粒刺对双线盗毒蛾幼虫防效缓慢,但药后7d却达到91.0%,田间持效期较长,可在虫口密度较低或发生初期使用.",摘要
玉米主要病虫害防治技术,标题,摘要,1玉米病害1.1玉米大斑病1.1.1危害特点。主要危害叶片，也可危害叶鞘和苞叶。下部叶片先发病，逐渐向上发展，发病初期为水渍状青灰色小点，后沿叶脉向两边发展，形成中央黄褐色，边缘深褐色的梭形或纺锤形的大斑，湿度大时病斑长出黑色霉状物，即病菌的分生孢子梗及分生孢子。在春玉米区，从拔节到出穗期间气温适宜，又遇连续阴雨天，病害发展迅速，易大流行。玉米孕穗、出穗期间氮肥不足发病较重。低洼地、密度过大、连作地易发病。,摘要
二斑叶螨在5个玉米品种上的种群参数特征与分析,标题,摘要,"利用叶盘饲养法,组建二斑叶螨在郑单958、先玉335、正大12、平玉8号和西蒙6号5个玉米品种上的试验种群生命表,饲养温度(25±1)℃,光照16h,相对湿度20％.结果表明,在不同品种玉米上,二斑叶螨的后若螨期、产卵前期、产卵期、产卵量、内禀增长率、平均世代周期、净增值率、周限增长率、种群加倍时间均存在显著差异(p＜0.05);存活曲线类型不同,其中西蒙6号偏向Ⅰ型,平玉8号为Ⅱ型,郑单958、先玉335和正大12介于Ⅰ～Ⅲ型之间.净增值率在平玉8号上最高,为13.14;在先玉335上最低,为5.98.孵化率在西蒙6号最高,为100％.二斑叶螨对西蒙6号与平玉8号的嗜食性较强,对先玉335和郑单958的嗜食性较弱.",摘要
亚洲玉米螟越冬幼虫主要寄生性天敌及病原菌致死率的考察,标题,摘要,对我国主要玉米产区亚洲玉米螟Ostriniafurnacalis越冬代幼虫天敌和病原菌的寄生情况进行了调查。通过2年秋季采集14个省，20个点共计14984头玉米螟越冬幼虫，在室内（26±1）℃，RH（70%±10%），光周期16L：8D的环境中饲养。明确了主要病原菌苏云金芽孢杆菌Bacillusthuringiensis和白僵菌Beauveriabassiana及主要寄生性天敌昆虫腰带长体茧蜂Macrocentruscingulum、玉米螟厉寄蝇Lydellagrisescens和大螟钝唇姬蜂Eriborusterebranus在各地的寄生率。各地越冬幼虫平均感染苏云金芽孢杆菌死亡率为36.2%，感染白僵菌死亡率为14.4%。苏云金芽孢杆菌和白僵菌的感染率在东北春玉米区年度间有波动，而在夏玉米及其它玉米产区，苏云金芽孢杆菌的感染率显著高于白僵菌。腰带长体茧蜂和玉米螟厉寄蝇在各地普遍分布，为优势寄生性天敌昆虫，寄生致死率分别为7.0%和5.1%。大螟钝唇姬蜂仅在北方春玉米区的海伦、沈阳、应县和夏玉米区的保定等少数地区发生，且寄生率＜1.0%。与天敌昆虫寄生死亡率相比，感染病原菌的死亡率显著较高，但年度间波动较大。由此可知，苏云金芽孢杆菌和白僵菌是玉米主产区亚洲玉米螟越冬幼虫的主要致死因子，且具有波动性；腰带长体茧蜂和玉米螟厉寄蝇是相对稳定的致死因子，大螟钝唇姬蜂具有区域特异性。,摘要
浙江省鲜食甜、糯玉米主要病虫害及综合防治,标题,摘要,"对2010-2015年浙江省鲜食甜糯玉米生产中的病虫害进行调查,确定主要病虫害种类,虫害主要为小地老虎、玉米螟和蚜虫,病害主要为小斑病、纹枯病、苗枯病和南方锈病.通过药剂防治试验,总结出一套简单有效的病虫害一体化防治技术,包括种子包衣、大喇叭口期玉米螟、叶斑病、纹枯病前移防治技术等.分析了玉米病虫害发生趋势,针对生产中的主要问题提出研究建议.",摘要
玉米叶螨的综合防治,标题,摘要,玉米叶螨又称玉米红蜘蛛，主要有截形叶螨、二斑叶螨和朱砂叶螨三种，近年来在玉米田普遍发生，已成为危害玉米的一种主要害虫。,摘要
玉米病虫害防治技术,标题,摘要,"玉米是我县秋季种植的主要粮食作物,常年种植面积在5.7亿平方米左右。玉米上发生的病虫害有二十种以上，主要的有玉米褐斑病、粗缩病、大小斑病、玉米弯孢霉叶斑病、玉米螟、棉铃虫、玉米蚜、粘虫等。其中玉米褐斑病已由过去的次要病害上升为主要病害，发展迅速，并有逐年加重趋势。",摘要
2018年玉米重大病虫害防控技术方案,标题,摘要,根据全国农技中心会同有关专家分析预测，2018年全国玉米病虫害发生重于常年，东北、华北地区玉米螟、粘虫、地下害虫、大斑病为害重，黄淮海地区玉米螟、棉铃虫、二点委夜蛾、褐斑病发生突出，西北和西南地区棉铃虫、蚜虫、叶螨、粘虫、小斑病发生普遍，预计发生面积10．8亿亩次。,摘要
间作对甜玉米田主要害虫与天敌动态的影响,标题,摘要,"为明确甜玉米间作不同作物对害虫的控制作用,采用目测法系统调查了甜玉米单作、甜玉米与绿豆、菜豆、甘薯或花生间作生境玉米主要害虫和天敌种群发生动态,并比较了不同生境亚洲玉米螟的为害情况。间作生境中捕食性天敌蜘蛛和瓢虫类群的个体数量均明显增加,其中甜玉米间作绿豆或甘薯生境蜘蛛类群增长21%以上,瓢虫类群增长83%以上,显著高于甜玉米单作生境;不同生境间玉米螟赤眼蜂发生量差异不显著,对亚洲玉米螟卵的寄生率均达到86%以上。间作生境玉米生育期内亚洲玉米螟落卵量、斜纹夜蛾及玉米蚜发生量均与甜玉米单作无显著差异,但收获期甜玉米间作生境玉米螟为害率低于单作生境,其中以甜玉米间作绿豆生境最低,总蛀孔数和活虫数分别比单作生境下降55.72%和76.70%。表明间作不同作物对甜玉米田具有一定的控害增益作用。",摘要
利用超甜玉米诱集水稻螟虫,标题,摘要,"昆虫对寄主植物种类,特别是对嗜食植物的选择,并不是永恒不变的.随着种植结构的调整、耕作制度的改变、品种的替换,昆虫对寄主的选择往往会发生变化.调查结果表明,在单季稻种植区内混种超甜玉米(第二茬),超甜玉米均成为玉米螟、二化螟和大螟的更高层次的寄主.在离超甜玉米地200m的范围内玉米螟、二化螟和大螟对超甜玉米表现出强烈的趋向性,防治上将螟虫从目的作物引诱到非目的作物来保护目的作物,以达到防治目的,对其发生动态的预测很有指导意义.",摘要
玉米病虫害综合防治技术,标题,摘要,"玉米是我国重要的粮食作物,玉米因其特有的糖分成分,生长中遭受的病虫害也较多.为了提高玉米产量和保障玉米健康生长,结合自身实践经验,文中阐述了玉米在不同的生长时期极易发生的病虫害及防治手段,详细讨论了玉米大斑病、小班病及黑粉病几种常见病虫害的综合防治策略.",摘要
玉米红蜘蛛发生规律、危害及防治措施,标题,摘要,"玉米红蜘蛛又称玉米叶螨,属株形纲,蜱瞒目、叶满科、是世界性的大害虫.我省玉米产区的主要危害种是截形叶螨和二斑叶螨,一般在干旱年份或干旱季节发生较重,玉米红蜘蛛对玉米产量的危害极大,减产幅度为15～50％,不但影响产量品质,且危害过的玉米茎叶不能作饲草,为此,必须对红蜘蛛的生活史与习性有一个深刻的了解,再根据虫情发生规律采取正确的防治措施,才能减轻危害,确保玉米丰产增收.",摘要
汾阳市玉米病虫害综合防治技术,标题,摘要,"在介绍汾阳市病虫害防治策略的基础上,重点介绍了玉米矮花叶病、小地老虎、玉米螟、玉米红蜘蛛的防治措施,以为汾阳市玉米病虫害防治提供参考.",摘要
玉米叶螨的发生与综合防治,标题,摘要,"玉米叶螨又名玉米红蜘蛛,属蜱螨目,叶螨科.常见的有截形叶螨、二斑叶螨和朱砂叶螨3种.俗称火龙,是一种个体小、繁殖速度快、大发生频率比较高的暴发性害螨,被群众称为""不冒烟的农田火灾"".1990～2005年,玉米叶螨在山西省忻州市先后3次大发生(1991、1999、2001年)、2次偏重发生(1997、2005年)、2次中度发生(1995、2000年).玉米被叶螨刺吸为害后,茎叶失绿,籽粒瘪瘦,严重时植株干枯倒伏死亡,造成减产.",摘要
20%克百威玉米种衣剂的研制,标题,摘要,"90年代初新疆即开始在棉花、玉米、小麦等作物上推广应用种衣剂,但在此其间由于气候、种子质量、种衣剂针对性和适应性等方面的原因,相继出现种衣剂影响作物出苗和生长的现象,给种衣剂推广应用带来了极大的负面影响.为此自1997年起,我们根据新疆绿洲农业区域的特殊性,针对玉米苗期主要害虫地老虎进行了玉米种衣剂的研制.",摘要
桦甸市玉米主要虫害综合防治技术,标题,期刊,现代农业科技,期刊
山东省玉米越冬害虫种类及亚洲玉米螟越冬幼虫寄生性天敌调查,标题,期刊,山东农业科学,期刊
玉米地老虎的防治技巧,标题,期刊,吉林农业,期刊
利用超甜玉米诱集水稻螟虫,标题,期刊,湖北农业科学,期刊
玉米制种病虫趋重的原因及防治对策,标题,期刊,中国农村小康科技,期刊
2015年全国玉米重大病虫害发生趋势预报,标题,期刊,种业导刊,期刊
冬种甜玉米病虫害防治,标题,期刊,麦类文摘·种业导报,期刊
玉米大斑病拮抗细菌的分离与筛选,标题,期刊,玉米科学,期刊
山区玉米高产优质栽培技术,标题,期刊,农民致富之友,期刊
玉米病虫害绿色防治技术,标题,期刊,现代农业科技,期刊
玉米主要病虫害防治(下),标题,期刊,河南科技,期刊
